IATA,Airport name,Country,City
AAA,Anaa Airport,French Polynesia,Anaa
AAB,Arrabury Airport,Australia,Tanbar
AAC,El Arish International Airport,Egypt,El Arish
AAD,Adado Airport,Somalia,Adado
AAE,Annaba Rabah Bitat Airport,Algeria,Annaba
AAF,Apalachicola Regional Airport,United States of America,Apalachicola
AAG,Avelino Vieira Airport,Brazil,Arapoti
AAH,Aachen-Merzbrück Airport,Germany,Aachen
AAI,Arraias Airport,Brazil,Arraias
AAJ,Cayana Airstrip,Suriname,Awaradam
AAK,Aranuka Airport,Kiribati,Buariki
AAL,Aalborg Airport,Denmark,Aalborg
AAM,Malamala Airport,South Africa,Malamala
AAN,Al Ain International Airport,United Arab Emirates,Al Ain
AAO,Anaco Airport,Venezuela,Anaco
AAP,Aji Pangeran Tumenggung Pranoto International Airport,Indonesia,Samarinda
AAQ,Anapa Vityazevo Airport,Russia,Krasnyi Kurgan
AAR,Aarhus Airport,Denmark,Aarhus
AAS,Apalapsili Airport,Indonesia,Apalapsili
AAT,Altay Xuedu Airport,China,Altay
AAU,Asau Airport,Samoa,Asau
AAV,Allah Valley Airport,Philippines,Surallah
AAX,Romeu Zema Airport,Brazil,Araxá
AAY,Al Ghaydah International Airport,Yemen,Al Ghaydah
AAZ,Quezaltenango Airport,Guatemala,Quezaltenango
ABA,Abakan International Airport,Russia,Abakan
ABB,Asaba International Airport,Nigeria,Asaba
ABC,Albacete Airport / Los Llanos Air Base,Spain,Albacete
ABD,Abadan Airport,Iran,Abadan
ABE,Lehigh Valley International Airport,United States of America,Allentown
ABF,Abaiang Airport,Kiribati,Abaiang
ABG,Abingdon Downs Airport,Australia,Abingdon Downs
ABH,Alpha Airport,Australia,Alpha
ABI,Abilene Regional Airport,United States of America,Abilene
ABJ,Félix-Houphouët-Boigny International Airport,Ivory Coast,Abidjan
ABK,Kebri Dahar Airport,Ethiopia,Kebri Dahar
ABL,Ambler Airport,United States of America,Ambler
ABM,Northern Peninsula Airport,Australia,Bamaga
ABN,Albina Airport,Suriname,Albina
ABO,Aboisso Airport,Ivory Coast,Aboisso
ABP,Atkamba Airport,Papua New Guinea,Atkamba Mission
ABQ,Albuquerque International Sunport,United States of America,Albuquerque
ABR,Aberdeen Regional Airport,United States of America,Aberdeen
ABS,Abu Simbel Airport,Egypt,Abu Simbel
ABT,King Saud Bin Abdulaziz (Al Baha) Airport,Saudi Arabia,Al-Baha
ABU,AA Bere Tallo (Haliwen) Airport,Indonesia,Atambua
ABV,Nnamdi Azikiwe International Airport,Nigeria,Abuja
ABX,Albury Airport,Australia,East Albury
ABY,Southwest Georgia Regional Airport,United States of America,Albany
ABZ,Aberdeen International Airport,United Kingdom,Aberdeen
ACA,General Juan N. Álvarez International Airport,Mexico,Acapulco
ACB,Antrim County Airport,United States of America,Bellaire
ACC,Kotoka International Airport,Ghana,Accra
ACD,Alcides Fernández Airport,Colombia,Acandí
ACE,César Manrique-Lanzarote Airport,Spain,San Bartolomé
ACF,Aral Tarim Airport,China,Aral
ACH,Sankt Gallen Altenrhein Airport,Switzerland,St. Gallen
ACI,Alderney Airport,Guernsey,Saint Anne
ACJ,Anuradhapura Airport,Sri Lanka,Anuradhapura
ACK,Nantucket Memorial Airport,United States of America,Nantucket
ACN,Ciudad Acuña New International Airport,Mexico,Ciudad Acuña
ACP,Sahand Airport,Iran,Maragheh
ACR,Araracuara Airport,Colombia,Araracuara
ACS,Achinsk Airport,Russia,Achinsk
ACT,Waco Regional Airport,United States of America,Waco
ACU,Achutupu Airport,Panama,Mamitupu
ACV,California Redwood Coast-Humboldt County Airport,United States of America,Arcata/Eureka
ACX,Xingyi Wanfenglin Airport,China,Xingyi
ACY,Atlantic City International Airport,United States of America,Atlantic City
ACZ,Zabol Airport,Iran,Zabol
ADA,Adana Şakirpaşa Airport,Turkey,Seyhan
ADB,Adnan Menderes International Airport,Turkey,Gaziemir
ADC,Andakombe Airport,Papua New Guinea,Andekombe
ADD,Addis Ababa Bole International Airport,Ethiopia,Addis Ababa
ADE,Aden International Airport,Yemen,Aden
ADF,Adıyaman Airport,Turkey,Adıyaman
ADG,Lenawee County Airport,United States of America,Adrian
ADH,Aldan Airport,Russia,Aldan
ADI,Arandis Airport,Namibia,Arandis
ADJ,Amman Civil (Marka International) Airport,Jordan,Amman
ADK,Adak Airport,United States of America,Adak
ADL,Adelaide International Airport,Australia,Adelaide
ADM,Ardmore Municipal Airport,United States of America,Ardmore
ADO,Andamooka Airport,Australia,Andamooka
ADP,Ampara Airport,Sri Lanka,Ampara
ADQ,Kodiak Airport,United States of America,Kodiak
ADR,Robert F Swinnie Airport,United States of America,Andrews
ADS,Addison Airport,United States of America,Dallas
ADT,Ada Regional Airport,United States of America,Ada
ADU,Ardabil Airport,Iran,Ardabil
ADV,El Daein Airport,Sudan,El Daein
ADW,Joint Base Andrews,United States of America,Camp Springs
ADX,Leuchars Station Airfield,United Kingdom,"Leuchars, Fife"
ADY,Alldays Airport,South Africa,Alldays
ADZ,Gustavo Rojas Pinilla International Airport,Colombia,San Andrés
AEA,Abemama Airport,Kiribati,Abemama
AEB,Baise (Bose) Bama Airport,China,Baise (Tianyang)
AEE,Adareil Airport,South Sudan,Adar
AEG,Aek Godang Airport,Indonesia,Padang Sidempuan
AEH,Abeche Airport,Chad,Abeche
