departure_airport,departure_country,arrival_airport,arrival_country,departure_date,return_date,seat_class,departure_airline,departure_departure_airport,departure_departure_date,departure_departure_time,departure_num_stops,departure_connection_airports,departure_layover_durations,departure_arrival_airport,departure_arrival_date,departure_arrival_time,departure_duration_minutes,departure_duration_str,departure_carry_on_bags,departure_checked_bags,return_airline,return_departure_airport,return_departure_date,return_departure_time,return_num_stops,return_connection_airports,return_layover_durations,return_arrival_airport,return_arrival_date,return_arrival_time,return_duration_minutes,return_duration_str,return_carry_on_bags,return_checked_bags,price,price_classification,price_relativity,status,trip_length_days
RDU,United States of America,New York,United States of America,03/24/2026,03/27/2026,Economy (exclude Basic),Delta,Raleigh-Durham International Airport,"Tuesday, March 24",11:57 AM,0,[],[],LaGuardia Airport,"Tuesday, March 24",1:33 PM,96,1 hr 36 min,1,0,Delta,LaGuardia Airport,"Friday, March 27",9:15 AM,0,[],[],Raleigh-Durham International Airport,"Friday, March 27",11:05 AM,110,1 hr 50 min,1,0,197,cheaper,160.0,Ran successfully.,3
RDU,United States of America,New York,United States of America,03/21/2026,03/24/2026,Economy (exclude Basic),JetBlue,Raleigh-Durham International Airport,"Saturday, March 21",6:15 AM,0,[],[],John F. Kennedy International Airport,"Saturday, March 21",7:56 AM,101,1 hr 41 min,1,0,JetBlue,John F. Kennedy International Airport,"Tuesday, March 24",1:45 PM,0,[],[],Raleigh-Durham International Airport,"Tuesday, March 24",3:36 PM,111,1 hr 51 min,1,0,187,cheaper,145.0,Ran successfully.,3
RDU,United States of America,New York,United States of America,03/25/2026,03/28/2026,Economy (exclude Basic),JetBlue,Raleigh-Durham International Airport,"Wednesday, March 25",6:15 AM,0,[],[],John F. Kennedy International Airport,"Wednesday, March 25",7:56 AM,101,1 hr 41 min,1,0,JetBlue,John F. Kennedy International Airport,"Saturday, March 28",1:45 PM,0,[],[],Raleigh-Durham International Airport,"Saturday, March 28",3:36 PM,111,1 hr 51 min,1,0,187,cheaper,145.0,Ran successfully.,3
RDU,United States of America,New York,United States of America,04/05/2026,04/08/2026,Economy (exclude Basic),United,Raleigh-Durham International Airport,"Sunday, April 5",7:00 AM,0,[],[],Newark Liberty International Airport,"Sunday, April 5",8:40 AM,100,1 hr 40 min,1,0,United,Newark Liberty International Airport,"Wednesday, April 8",2:40 PM,0,[],[],Raleigh-Durham International Airport,"Wednesday, April 8",4:20 PM,100,1 hr 40 min,1,0,197,cheaper,138.0,Ran successfully.,3
RDU,United States of America,New York,United States of America,03/23/2026,03/25/2026,Economy (exclude Basic),JetBlue,Raleigh-Durham International Airport,"Monday, March 23",6:15 AM,0,[],[],John F. Kennedy International Airport,"Monday, March 23",7:56 AM,101,1 hr 41 min,1,0,JetBlue,John F. Kennedy International Airport,"Wednesday, March 25",1:45 PM,0,[],[],Raleigh-Durham International Airport,"Wednesday, March 25",3:36 PM,111,1 hr 51 min,1,0,197,cheaper,135.0,Ran successfully.,2
RDU,United States of America,New York,United States of America,03/24/2026,03/26/2026,Economy (exclude Basic),JetBlue,Raleigh-Durham International Airport,"Tuesday, March 24",6:15 AM,0,[],[],John F. Kennedy International Airport,"Tuesday, March 24",7:56 AM,101,1 hr 41 min,1,0,JetBlue,John F. Kennedy International Airport,"Thursday, March 26",1:45 PM,0,[],[],Raleigh-Durham International Airport,"Thursday, March 26",3:36 PM,111,1 hr 51 min,1,0,197,cheaper,135.0,Ran successfully.,2
RDU,United States of America,New York,United States of America,03/23/2026,03/26/2026,Economy (exclude Basic),JetBlue,Raleigh-Durham International Airport,"Monday, March 23",6:15 AM,0,[],[],John F. Kennedy International Airport,"Monday, March 23",7:56 AM,101,1 hr 41 min,1,0,JetBlue,John F. Kennedy International Airport,"Thursday, March 26",1:45 PM,0,[],[],Raleigh-Durham International Airport,"Thursday, March 26",3:36 PM,111,1 hr 51 min,1,0,187,cheaper,125.0,Ran successfully.,3
RDU,United States of America,New York,United States of America,03/22/2026,03/25/2026,Economy (exclude Basic),JetBlue,Raleigh-Durham International Airport,"Sunday, March 22",6:15 AM,0,[],[],John F. Kennedy International Airport,"Sunday, March 22",7:56 AM,101,1 hr 41 min,1,0,JetBlue,John F. Kennedy International Airport,"Wednesday, March 25",1:45 PM,0,[],[],Raleigh-Durham International Airport,"Wednesday, March 25",3:36 PM,111,1 hr 51 min,1,0,187,cheaper,125.0,Ran successfully.,3
RDU,United States of America,New York,United States of America,04/07/2026,04/10/2026,Economy (exclude Basic),Delta,Raleigh-Durham International Airport,"Tuesday, April 7",7:00 AM,0,[],[],Newark Liberty International Airport,"Tuesday, April 7",8:46 AM,106,1 hr 46 min,1,0,Delta,Newark Liberty International Airport,"Friday, April 10",8:30 PM,0,[],[],Raleigh-Durham International Airport,"Friday, April 10",10:21 PM,111,1 hr 51 min,1,0,197,cheaper,125.0,Ran successfully.,3
RDU,United States of America,New York,United States of America,04/04/2026,04/06/2026,Economy (exclude Basic),American,Raleigh-Durham International Airport,"Saturday, April 4",6:50 AM,0,[],[],LaGuardia Airport,"Saturday, April 4",8:33 AM,103,1 hr 43 min,1,0,American,LaGuardia Airport,"Monday, April 6",8:20 PM,0,[],[],Raleigh-Durham International Airport,"Monday, April 6",10:10 PM,110,1 hr 50 min,1,0,277,cheaper,120.0,Ran successfully.,2
